mixture_ID,speaker_1_ID,speaker_1_sex
audio01395,female1,F
audio01396,male18,M
audio01397,male2,M
audio01398,female8,F
audio01399,female28,F
audio01400,male6,M
audio01401,male4,M
audio01402,female9,F
audio01403,female29,F
audio01404,male23,M
audio01405,female29,F
audio01406,male3,M
audio01407,female1,F
audio01408,female28,F
audio01409,female28,F
audio01410,male25,M
audio01411,male4,M
audio01412,female5,F
audio01413,female29,F
audio01414,female30,F
audio01415,female2,F
audio01416,female27,F
audio01417,female2,F
audio01418,female8,F
audio01419,male18,M
audio01420,male6,M
audio01421,male23,M
audio01422,male9,M
audio01423,male22,M
audio01424,female22,F
audio01425,female15,F
audio01426,male27,M
audio01427,female14,F
audio01428,male30,M
audio01429,male8,M
audio01430,male26,M
audio01431,female3,F
audio01432,female22,F
audio01433,male26,M
audio01434,male2,M
audio01435,male23,M
audio01436,female15,F
audio01437,male24,M
audio01438,female20,F
audio01439,female11,F
audio01440,female14,F
audio01441,female1,F
audio01442,female17,F
audio01443,male16,M
audio01444,male27,M
audio01445,female30,F
audio01446,female28,F
audio01447,female11,F
audio01448,female11,F
audio01449,female11,F
audio01450,male8,M
audio01451,male26,M
audio01452,female8,F
audio01453,male23,M
audio01454,female11,F
audio01455,male4,M
audio01456,male18,M
audio01457,female1,F
audio01458,female22,F
audio01459,male2,M
audio01460,male8,M
audio01461,female24,F
audio01462,male6,M
audio01463,male27,M
audio01464,male6,M
audio01465,female5,F
audio01466,male19,M
audio01467,female2,F
audio01468,male9,M
audio01469,female24,F
audio01470,female12,F
audio01471,female11,F
audio01472,male3,M
audio01473,female3,F
audio01474,female14,F
audio01475,female29,F
audio01476,female15,F
audio01477,male5,M
audio01478,female27,F
audio01479,female26,F
audio01480,male7,M
audio01481,male26,M
audio01482,male5,M
audio01483,female30,F
audio01484,male30,M
audio01485,female26,F
audio01486,male23,M
audio01487,female2,F
audio01488,male6,M
audio01489,male23,M
audio01490,female26,F
audio01491,female17,F
audio01492,female29,F
audio01493,male4,M
audio01494,male26,M
audio01495,male7,M
audio01496,female5,F
audio01497,female5,F
audio01498,male3,M
audio01499,female2,F
audio01500,male27,M
audio01501,male7,M
audio01502,male25,M
audio01503,female9,F
audio01504,male18,M
audio01505,male6,M
audio01506,female9,F
audio01507,male20,M
audio01508,male30,M
audio01509,female29,F
audio01510,male4,M
audio01511,male19,M
audio01512,female5,F
audio01513,male22,M
audio01514,male16,M
audio01515,male6,M
audio01516,female5,F
audio01517,male18,M
audio01518,male23,M
audio01519,female8,F
audio01520,male6,M
audio01521,female5,F
audio01522,male30,M
audio01523,female2,F
audio01524,male2,M
audio01525,male5,M
audio01526,male8,M
audio01527,female8,F
audio01528,male22,M
audio01529,female5,F
audio01530,female9,F
audio01531,female26,F
audio01532,male23,M
audio01533,male18,M
audio01534,male18,M
audio01535,female20,F
audio01536,female30,F
audio01537,female1,F
audio01538,male26,M
audio01539,male10,M
audio01540,female1,F
audio01541,female12,F
audio01542,male3,M
audio01543,female8,F
audio01544,male19,M
audio01545,female5,F
audio01546,female1,F
audio01547,female30,F
audio01548,female3,F
audio01549,female9,F
audio01550,male6,M
audio01551,female30,F
audio01552,male24,M
audio01553,male3,M
audio01554,female17,F
audio01555,female2,F
audio01556,male26,M
audio01557,male20,M
audio01558,male4,M
audio01559,female27,F
audio01560,female2,F
audio01561,male22,M
audio01562,female29,F
audio01563,male26,M
audio01564,male8,M
audio01565,male18,M
audio01566,female14,F
audio01567,male30,M
audio01568,male25,M
audio01569,male22,M
audio01570,female28,F
audio01571,male23,M
audio01572,female26,F
audio01573,female5,F
audio01574,female15,F
audio01575,male6,M
audio01576,female9,F
audio01577,male4,M
audio01578,female12,F
audio01579,female5,F
audio01580,female11,F
audio01581,female12,F
audio01582,male6,M
audio01583,male6,M
audio01584,female14,F
audio01585,female11,F
audio01586,female1,F
audio01587,female29,F
audio01588,female14,F
audio01589,male16,M
audio01590,male10,M
audio01591,female14,F
audio01592,female20,F
audio01593,male20,M
audio01594,male16,M
audio01595,male20,M
audio01596,female11,F
audio01597,male25,M
audio01598,female3,F
audio01599,female9,F
audio01600,male2,M
audio01601,male10,M
audio01602,female22,F
audio01603,male25,M
audio01604,male26,M
audio01605,male8,M
audio01606,female17,F
audio01607,female15,F
audio01608,male8,M
audio01609,male18,M
audio01610,female2,F
audio01611,female12,F
audio01612,female4,F
audio01613,female4,F
audio01614,male16,M
audio01615,female20,F
audio01616,female17,F
audio01617,female27,F
audio01618,male19,M
audio01619,male18,M
audio01620,male2,M
audio01621,male26,M
audio01622,male16,M
audio01623,male20,M
audio01624,male19,M
audio01625,male24,M
audio01626,female30,F
audio01627,female28,F
audio01628,male7,M
audio01629,female28,F
audio01630,male20,M
audio01631,male9,M
audio01632,male7,M
audio01633,male8,M
audio01634,female14,F
audio01635,male23,M
audio01636,female1,F
audio01637,male8,M
audio01638,female28,F
audio01639,female4,F
audio01640,male20,M
audio01641,male27,M
audio01642,male18,M
audio01643,female22,F
audio01644,male23,M
audio01645,female4,F
audio01646,male8,M
audio01647,female5,F
audio01648,male4,M
audio01649,female15,F
audio01650,male6,M
audio01651,male2,M
audio01652,male3,M
audio01653,female26,F
audio01654,male5,M
audio01655,female3,F
audio01656,male25,M
audio01657,female11,F
audio01658,male23,M
audio01659,male2,M
audio01660,male16,M
audio01661,female26,F
audio01662,female3,F
audio01663,male2,M
audio01664,female27,F
audio01665,male4,M
audio01666,male6,M
audio01667,female2,F
audio01668,male10,M
audio01669,male16,M
audio01670,male19,M
audio01671,male2,M
audio01672,female26,F
audio01673,female29,F
audio01674,female29,F
audio01675,male3,M
audio01676,male22,M
audio01677,female8,F
audio01678,female30,F
audio01679,female5,F
audio01680,female26,F
audio01681,male9,M
audio01682,female2,F
audio01683,male6,M
audio01684,male20,M
audio01685,male27,M
audio01686,male22,M
audio01687,male25,M
audio01688,male23,M
audio01689,female3,F
audio01690,female1,F
audio01691,female27,F
audio01692,male6,M
audio01693,male3,M
audio01694,female26,F
audio01695,female22,F
audio01696,female27,F
audio01697,male2,M
audio01698,male27,M
audio01699,male23,M
audio01700,female24,F
audio01701,female29,F
audio01702,female11,F
audio01703,female3,F
audio01704,male8,M
audio01705,female24,F
audio01706,male25,M
audio01707,male23,M
audio01708,female17,F
audio01709,male19,M
audio01710,male3,M
audio01711,female14,F
audio01712,female17,F
audio01713,female17,F
audio01714,male3,M
audio01715,female14,F
audio01716,female1,F
audio01717,female11,F
audio01718,male18,M
audio01719,male18,M
audio01720,male4,M
audio01721,female3,F
audio01722,female26,F
audio01723,female14,F
audio01724,male7,M
audio01725,male20,M
audio01726,female5,F
audio01727,female28,F
audio01728,male9,M
audio01729,male7,M
audio01730,male2,M
audio01731,male16,M
audio01732,male27,M
audio01733,male3,M
audio01734,female12,F
audio01735,male7,M
audio01736,female22,F
audio01737,male23,M
audio01738,female30,F
audio01739,male4,M
audio01740,male19,M
audio01741,male8,M
audio01742,male18,M
audio01743,female20,F
audio01744,female15,F
audio01745,male3,M
audio01746,female29,F
audio01747,female11,F
audio01748,male25,M
audio01749,male3,M
audio01750,female29,F
audio01751,female2,F
audio01752,male3,M
audio01753,female4,F
audio01754,male26,M
audio01755,male7,M
audio01756,male23,M
audio01757,male22,M
audio01758,male30,M
audio01759,male4,M
audio01760,male6,M
audio01761,male8,M
audio01762,female29,F
audio01763,female17,F
audio01764,male23,M
audio01765,male26,M
audio01766,female3,F
audio01767,female4,F
audio01768,female1,F
audio01769,female5,F
audio01770,male5,M
audio01771,male8,M
audio01772,female5,F
audio01773,male20,M
audio01774,male5,M
audio01775,male7,M
audio01776,female22,F
audio01777,female14,F
audio01778,male6,M
audio01779,female4,F
audio01780,male8,M
audio01781,male9,M
audio01782,male18,M
audio01783,male30,M
audio01784,male5,M
audio01785,male6,M
audio01786,male2,M
audio01787,female2,F
audio01788,female1,F
audio01789,male8,M
audio01790,male9,M
audio01791,female29,F
audio01792,female17,F
audio01793,female2,F
audio01794,male24,M
audio01795,female22,F
audio01796,male23,M
audio01797,male2,M
audio01798,female8,F
audio01799,female30,F
audio01800,male19,M
audio01801,male20,M
audio01802,female28,F
audio01803,male24,M
audio01804,male19,M
audio01805,female24,F
audio01806,male27,M
audio01807,male22,M
audio01808,male24,M
audio01809,male8,M
audio01810,male24,M
audio01811,female20,F
audio01812,male10,M
audio01813,male7,M
audio01814,female15,F
audio01815,female1,F
audio01816,female17,F
audio01817,male25,M
audio01818,male24,M
audio01819,female20,F
audio01820,male5,M
audio01821,female20,F
audio01822,male7,M
audio01823,male19,M
audio01824,male20,M
audio01825,male10,M
audio01826,female9,F
audio01827,female4,F
audio01828,male10,M
audio01829,male30,M
audio01830,male10,M
audio01831,female29,F
audio01832,female4,F
audio01833,male22,M
audio01834,male6,M
audio01835,male19,M
audio01836,male30,M
audio01837,male26,M
audio01838,male16,M
audio01839,female2,F
audio01840,female2,F
audio01841,female5,F
audio01842,male3,M
audio01843,female24,F
audio01844,female12,F
audio01845,female17,F
audio01846,male23,M
audio01847,female24,F
audio01848,female28,F
audio01849,female3,F
audio01850,female8,F
audio01851,female20,F
audio01852,male18,M
audio01853,male19,M
audio01854,male2,M
audio01855,male7,M
audio01856,female22,F
audio01857,male10,M
audio01858,female1,F
audio01859,male16,M
audio01860,female29,F
audio01861,female17,F
audio01862,male23,M
audio01863,female1,F
audio01864,female22,F
audio01865,male10,M
audio01866,male25,M
audio01867,male19,M
audio01868,male19,M
audio01869,female2,F
audio01870,female27,F
audio01871,male2,M
audio01872,female8,F
audio01873,female26,F
audio01874,female28,F
audio01875,male23,M
audio01876,female17,F
audio01877,female3,F
audio01878,female29,F
audio01879,male5,M
audio01880,male25,M
audio01881,female20,F
audio01882,female24,F
audio01883,female2,F
audio01884,male23,M
audio01885,male10,M
audio01886,female30,F
audio01887,female8,F
audio01888,male3,M
audio01889,male6,M
audio01890,female27,F
audio01891,male26,M
audio01892,male24,M
audio01893,male24,M
audio01894,female11,F
audio01895,female5,F
audio01896,female5,F
audio01897,male9,M
audio01898,female15,F
audio01899,male26,M
audio01900,male5,M
audio01901,female3,F
audio01902,female29,F
audio01903,female28,F
audio01904,male19,M
audio01905,female9,F
audio01906,female15,F
audio01907,male7,M
audio01908,male9,M
audio01909,female2,F
audio01910,male26,M
audio01911,male7,M
audio01912,male8,M
audio01913,female20,F
audio01914,male5,M
audio01915,male23,M
audio01916,female17,F
audio01917,male23,M
audio01918,male18,M
audio01919,male24,M
audio01920,female9,F
audio01921,male4,M
audio01922,male9,M
audio01923,female28,F
audio01924,male26,M
audio01925,male26,M
audio01926,male27,M
audio01927,female1,F
audio01928,female11,F
audio01929,male16,M
audio01930,female20,F
audio01931,female22,F
audio01932,male22,M
audio01933,male16,M
audio01934,male26,M
audio01935,female11,F
audio01936,male5,M
audio01937,female8,F
audio01938,female17,F
audio01939,male5,M
audio01940,male23,M
audio01941,female3,F
audio01942,female15,F
audio01943,female4,F
audio01944,male22,M
audio01945,female5,F
audio01946,female11,F
audio01947,male5,M
audio01948,male10,M
audio01949,male18,M
audio01950,male9,M
audio01951,male27,M
audio01952,female9,F
audio01953,male25,M
audio01954,female8,F
audio01955,female9,F
audio01956,male24,M
audio01957,female8,F
audio01958,female11,F
audio01959,male4,M
audio01960,female4,F
audio01961,female3,F
audio01962,female9,F
audio01963,female15,F
audio01964,female2,F
audio01965,female30,F
audio01966,female1,F
audio01967,male23,M
audio01968,male18,M
audio01969,female14,F
audio01970,male18,M
audio01971,male8,M
audio01972,female2,F
audio01973,male22,M
audio01974,female4,F
audio01975,male20,M
audio01976,male6,M
audio01977,male9,M
audio01978,male7,M
audio01979,male19,M
audio01980,female30,F
audio01981,male25,M
audio01982,male9,M
audio01983,male10,M
audio01984,female3,F
audio01985,male5,M
audio01986,male22,M
audio01987,male3,M
audio01988,female14,F
audio01989,male3,M
audio01990,male10,M
audio01991,female4,F
audio01992,male26,M
audio01993,female26,F
audio01994,male5,M
audio01995,male26,M
audio01996,male16,M
audio01997,female9,F
audio01998,male5,M
audio01999,male22,M
audio02000,male8,M
audio02001,female5,F
audio02002,male10,M
audio02003,male27,M
audio02004,male2,M
audio02005,female15,F
audio02006,female28,F
audio02007,male3,M
audio02008,male9,M
audio02009,male19,M
audio02010,female4,F
audio02011,male6,M
audio02012,female14,F
audio02013,female30,F
audio02014,male20,M
audio02015,male9,M
audio02016,male8,M
audio02017,female26,F
audio02018,male6,M
audio02019,female20,F
audio02020,male9,M
audio02021,male4,M
audio02022,female5,F
audio02023,female30,F
audio02024,female28,F
audio02025,female4,F
audio02026,male25,M
audio02027,female1,F
audio02028,male23,M
audio02029,male23,M
audio02030,male4,M
audio02031,female30,F
audio02032,male9,M
audio02033,male24,M
audio02034,male5,M
audio02035,male18,M
audio02036,female20,F
audio02037,male8,M
audio02038,female5,F
audio02039,male26,M
audio02040,male19,M
audio02041,female4,F
audio02042,male2,M
audio02043,female30,F
audio02044,male26,M
audio02045,female26,F
audio02046,male8,M
audio02047,male23,M
audio02048,female2,F
audio02049,female9,F
audio02050,female5,F
audio02051,female5,F
audio02052,female1,F
audio02053,male5,M
audio02054,female8,F
audio02055,female14,F
audio02056,male9,M
audio02057,female22,F
audio02058,male8,M
audio02059,female4,F
audio02060,male18,M
audio02061,female4,F
audio02062,male7,M
audio02063,female11,F
audio02064,male8,M
audio02065,male9,M
audio02066,female22,F
audio02067,female4,F
audio02068,female30,F
audio02069,male3,M
audio02070,female17,F
audio02071,male19,M
audio02072,male7,M
audio02073,female15,F
audio02074,female26,F
audio02075,female14,F
audio02076,male19,M
audio02077,female4,F
audio02078,male5,M
audio02079,male24,M
audio02080,female14,F
audio02081,female8,F
audio02082,male24,M
audio02083,female5,F
audio02084,male8,M
audio02085,female1,F
audio02086,male16,M
audio02087,female29,F
audio02088,male9,M
audio02089,male7,M
audio02090,male25,M
audio02091,female26,F
audio02092,female22,F
audio02093,male9,M
audio02094,female4,F
audio02095,male26,M
audio02096,male16,M
audio02097,female29,F
audio02098,female5,F
audio02099,male19,M
audio02100,female1,F
audio02101,male27,M
audio02102,male18,M
audio02103,male5,M
audio02104,male22,M
audio02105,female26,F
audio02106,female3,F
audio02107,male24,M
audio02108,female15,F
audio02109,male24,M
audio02110,male16,M
audio02111,male18,M
audio02112,female1,F
audio02113,female24,F
audio02114,female29,F
audio02115,male27,M
audio02116,male30,M
audio02117,female12,F
audio02118,male16,M
audio02119,female22,F
audio02120,male19,M
audio02121,female2,F
audio02122,female27,F
audio02123,female8,F
audio02124,male27,M
audio02125,female22,F
audio02126,female17,F
audio02127,male24,M
audio02128,female26,F
audio02129,male25,M
audio02130,female17,F
audio02131,male2,M
audio02132,male16,M
audio02133,male20,M
audio02134,female4,F
audio02135,male25,M
audio02136,female15,F
audio02137,male3,M
audio02138,male10,M
audio02139,male3,M
audio02140,male4,M
audio02141,male16,M
audio02142,female29,F
audio02143,male25,M
audio02144,male19,M
audio02145,female4,F
audio02146,male30,M
audio02147,female17,F
audio02148,female2,F
audio02149,female24,F
audio02150,male18,M
audio02151,female4,F
audio02152,female11,F
audio02153,male5,M
audio02154,male18,M
audio02155,male22,M
audio02156,female14,F
audio02157,male7,M
audio02158,female26,F
audio02159,female29,F
audio02160,male16,M
audio02161,female5,F
audio02162,male9,M
audio02163,male2,M
audio02164,female4,F
audio02165,female8,F
audio02166,male9,M
audio02167,male27,M
audio02168,male3,M
audio02169,male24,M
audio02170,male22,M
audio02171,female8,F
audio02172,male5,M
audio02173,female1,F
audio02174,female17,F
audio02175,female28,F
audio02176,female26,F
audio02177,female24,F
audio02178,male16,M
audio02179,female22,F
audio02180,male5,M
audio02181,female26,F
audio02182,male23,M
audio02183,female1,F
audio02184,female28,F
audio02185,male20,M
audio02186,female12,F
audio02187,female14,F
audio02188,female11,F
audio02189,male4,M
audio02190,male6,M
audio02191,female2,F
audio02192,male23,M
audio02193,female30,F
audio02194,female24,F
audio02195,male24,M
audio02196,male6,M
audio02197,female26,F
audio02198,female15,F
audio02199,female17,F
audio02200,male2,M
audio02201,male9,M
audio02202,female4,F
audio02203,female22,F
audio02204,female14,F
audio02205,female9,F
audio02206,female5,F
audio02207,female30,F
audio02208,male4,M
audio02209,male25,M
audio02210,female2,F
audio02211,male18,M
audio02212,male23,M
audio02213,female27,F
audio02214,female3,F
audio02215,male5,M
audio02216,female3,F
audio02217,male26,M
audio02218,female1,F
audio02219,male24,M
audio02220,female24,F
audio02221,male24,M
audio02222,male25,M
audio02223,male23,M
audio02224,male30,M
audio02225,male18,M
audio02226,female30,F
audio02227,female3,F
audio02228,male6,M
audio02229,male4,M
audio02230,female3,F
audio02231,male3,M
audio02232,male6,M
audio02233,female24,F
audio02234,female17,F
audio02235,female3,F
audio02236,male30,M
audio02237,male6,M
audio02238,male30,M
audio02239,female4,F
audio02240,female20,F
audio02241,male20,M
audio02242,female9,F
audio02243,female26,F
audio02244,female29,F
audio02245,male5,M
audio02246,female26,F
audio02247,female27,F
audio02248,male16,M
audio02249,male8,M
audio02250,female28,F
audio02251,female5,F
audio02252,male8,M
audio02253,female17,F
audio02254,male27,M
audio02255,female17,F
audio02256,female24,F
audio02257,male16,M
audio02258,male10,M
audio02259,female9,F
audio02260,male27,M
audio02261,female27,F
audio02262,female5,F
audio02263,male9,M
audio02264,female26,F
audio02265,male26,M
audio02266,female9,F
audio02267,male10,M
audio02268,male30,M
audio02269,male5,M
audio02270,female29,F
audio02271,male22,M
audio02272,male22,M
audio02273,male18,M
audio02274,male22,M
audio02275,female24,F
audio02276,female1,F
audio02277,female2,F
audio02278,female1,F
audio02279,female26,F
audio02280,male2,M
audio02281,male5,M
audio02282,female29,F
audio02283,male8,M
audio02284,female3,F
audio02285,male23,M
audio02286,male5,M
audio02287,male5,M
audio02288,male9,M
audio02289,male18,M
audio02290,male7,M
audio02291,male18,M
audio02292,female9,F
audio02293,male2,M
audio02294,female8,F
audio02295,male6,M
audio02296,male2,M
audio02297,male25,M
audio02298,female29,F
audio02299,male2,M
audio02300,male4,M
audio02301,male8,M
audio02302,female29,F
audio02303,female1,F
audio02304,male2,M
audio02305,male26,M
audio02306,male18,M
audio02307,female22,F
audio02308,male5,M
audio02309,male22,M
audio02310,female28,F
audio02311,female26,F
audio02312,male9,M
audio02313,male16,M
audio02314,male3,M
audio02315,female3,F
audio02316,female20,F
audio02317,male6,M
audio02318,male23,M
audio02319,female4,F
audio02320,female29,F
audio02321,female4,F
audio02322,male10,M
audio02323,female29,F
audio02324,male8,M
audio02325,female1,F
audio02326,male4,M
audio02327,female2,F
audio02328,female9,F
audio02329,female1,F
audio02330,female4,F
audio02331,female5,F
audio02332,male16,M
audio02333,female24,F
audio02334,male20,M
audio02335,male8,M
audio02336,female30,F
audio02337,male2,M
audio02338,female2,F
audio02339,male9,M
audio02340,male5,M
audio02341,male9,M
audio02342,female28,F
audio02343,female12,F
audio02344,female8,F
audio02345,male9,M
audio02346,male19,M
audio02347,male5,M
audio02348,male2,M
audio02349,female29,F
audio02350,male27,M
audio02351,male18,M
audio02352,male16,M
audio02353,male18,M
audio02354,male19,M
audio02355,male2,M
audio02356,male18,M
audio02357,male24,M
audio02358,male26,M
audio02359,male19,M
audio02360,female30,F
audio02361,male7,M
audio02362,female8,F
audio02363,female5,F
audio02364,female4,F
audio02365,male7,M
audio02366,male2,M
audio02367,male8,M
audio02368,male25,M
audio02369,male8,M
audio02370,female1,F
audio02371,male23,M
audio02372,female29,F
audio02373,male7,M
audio02374,female15,F
audio02375,male19,M
audio02376,male5,M
audio02377,female14,F
audio02378,male19,M
audio02379,female22,F
audio02380,female12,F
audio02381,male24,M
audio02382,female17,F
audio02383,male8,M
audio02384,female4,F
audio02385,male18,M
audio02386,female17,F
audio02387,male16,M
audio02388,female30,F
audio02389,male26,M
audio02390,male26,M
audio02391,male2,M
audio02392,male7,M
audio02393,female22,F
audio02394,male24,M
audio02395,male19,M
audio02396,female29,F
audio02397,male2,M
audio02398,male5,M
audio02399,female11,F
audio02400,female17,F
audio02401,female29,F
audio02402,female30,F
audio02403,male18,M
audio02404,male18,M
audio02405,female8,F
audio02406,female30,F
audio02407,female28,F
audio02408,female12,F
audio02409,male20,M
audio02410,male18,M
audio02411,male30,M
audio02412,female2,F
audio02413,male22,M
audio02414,male2,M
audio02415,female27,F
audio02416,male8,M
audio02417,male30,M
audio02418,male22,M
audio02419,male18,M
audio02420,female9,F
audio02421,male10,M
audio02422,male3,M
audio02423,male18,M
audio02424,male22,M
audio02425,female29,F
audio02426,female12,F
audio02427,female12,F
audio02428,female11,F
audio02429,male20,M
audio02430,female26,F
audio02431,female28,F
audio02432,male23,M
audio02433,male6,M
audio02434,female11,F
audio02435,male9,M
audio02436,female3,F
audio02437,male19,M
audio02438,female30,F
audio02439,female12,F
audio02440,male10,M
audio02441,male8,M
audio02442,male8,M
audio02443,female29,F
audio02444,female22,F
audio02445,female29,F
audio02446,female24,F
audio02447,male22,M
audio02448,male20,M
audio02449,female4,F
audio02450,female8,F
audio02451,female4,F
audio02452,male8,M
audio02453,female27,F
audio02454,female1,F
audio02455,female20,F
audio02456,male3,M
audio02457,female27,F
audio02458,male22,M
audio02459,male7,M
audio02460,male3,M
audio02461,female5,F
audio02462,female29,F
audio02463,female5,F
audio02464,female1,F
audio02465,female9,F
audio02466,female11,F
audio02467,female29,F
audio02468,male26,M
audio02469,male25,M
audio02470,female1,F
audio02471,male7,M
audio02472,male2,M
audio02473,female8,F
audio02474,female5,F
audio02475,male30,M
audio02476,female27,F
audio02477,male19,M
audio02478,male19,M
audio02479,female26,F
audio02480,female2,F
audio02481,female4,F
audio02482,male9,M
audio02483,male9,M
audio02484,female22,F
audio02485,female29,F
audio02486,female30,F
audio02487,male6,M
audio02488,female4,F
audio02489,female17,F
audio02490,female20,F
audio02491,female9,F
audio02492,female27,F
audio02493,male25,M
audio02494,female3,F
audio02495,male22,M
audio02496,female2,F
audio02497,female14,F
audio02498,male19,M
audio02499,male18,M
audio02500,female5,F
audio02501,female28,F
audio02502,female4,F
audio02503,female22,F
audio02504,male19,M
audio02505,female24,F
audio02506,female14,F
audio02507,male25,M
audio02508,male26,M
audio02509,female22,F
audio02510,male20,M
audio02511,male26,M
audio02512,female11,F
audio02513,female20,F
audio02514,female1,F
audio02515,female28,F
audio02516,female22,F
audio02517,female3,F
audio02518,male25,M
audio02519,male18,M
audio02520,female4,F
audio02521,female4,F
audio02522,male10,M
audio02523,female30,F
audio02524,male18,M
audio02525,male10,M
audio02526,female12,F
audio02527,male10,M
audio02528,male6,M
audio02529,male24,M
audio02530,male23,M
audio02531,female14,F
audio02532,female5,F
audio02533,female2,F
audio02534,female14,F
audio02535,male7,M
audio02536,male27,M
audio02537,female28,F
audio02538,male25,M
audio02539,female27,F
audio02540,female12,F
audio02541,male24,M
audio02542,female22,F
audio02543,male24,M
audio02544,male3,M
audio02545,male2,M
audio02546,female5,F
audio02547,male19,M
audio02548,female30,F
audio02549,male6,M
audio02550,female9,F
audio02551,female27,F
audio02552,female29,F
audio02553,male5,M
audio02554,female8,F
audio02555,female3,F
audio02556,female22,F
audio02557,female5,F
audio02558,female8,F
audio02559,male6,M
audio02560,female4,F
audio02561,male3,M
audio02562,male9,M
audio02563,male22,M
audio02564,male16,M
audio02565,female1,F
audio02566,female20,F
audio02567,female15,F
audio02568,female29,F
audio02569,female9,F
audio02570,female29,F
audio02571,male6,M
audio02572,female12,F
audio02573,female4,F
audio02574,female12,F
audio02575,female4,F
audio02576,male5,M
audio02577,male26,M
audio02578,female15,F
audio02579,female24,F
audio02580,female22,F
audio02581,female22,F
audio02582,male26,M
audio02583,female20,F
audio02584,female27,F
audio02585,male19,M
audio02586,female11,F
audio02587,male2,M
audio02588,female8,F
audio02589,female9,F
audio02590,female30,F
audio02591,female14,F
audio02592,female11,F
audio02593,male4,M
audio02594,female8,F
audio02595,male6,M
audio02596,female14,F
audio02597,male7,M
audio02598,male19,M
audio02599,male2,M
audio02600,female5,F
audio02601,male24,M
audio02602,male9,M
audio02603,female9,F
audio02604,male3,M
audio02605,female14,F
audio02606,male26,M
audio02607,female27,F
audio02608,male5,M
audio02609,male4,M
audio02610,female24,F
audio02611,male16,M
audio02612,female15,F
audio02613,female8,F
audio02614,female30,F
audio02615,female28,F
audio02616,male8,M
audio02617,female1,F
audio02618,female9,F
audio02619,male9,M
audio02620,male24,M
audio02621,male18,M
audio02622,female14,F
audio02623,male9,M
audio02624,female4,F
audio02625,male8,M
audio02626,male2,M
audio02627,female8,F
audio02628,male10,M
audio02629,male4,M
audio02630,male10,M
audio02631,female28,F
audio02632,male23,M
audio02633,male27,M
audio02634,male8,M
audio02635,male16,M
audio02636,female30,F
audio02637,female24,F
audio02638,male23,M
audio02639,male4,M
audio02640,male23,M
audio02641,female28,F
audio02642,female4,F
audio02643,female2,F
audio02644,male9,M
audio02645,female27,F
audio02646,female4,F
audio02647,male5,M
audio02648,male2,M
audio02649,female28,F
audio02650,male6,M
audio02651,female22,F
audio02652,male23,M
audio02653,female12,F
audio02654,female30,F
audio02655,male22,M
audio02656,female12,F
audio02657,female28,F
audio02658,male8,M
audio02659,male26,M
audio02660,female20,F
audio02661,female8,F
audio02662,female30,F
audio02663,female17,F
audio02664,male6,M
audio02665,male18,M
audio02666,female27,F
audio02667,female4,F
audio02668,female8,F
audio02669,male9,M
audio02670,male18,M
audio02671,male7,M
audio02672,female15,F
audio02673,female12,F
audio02674,female28,F
audio02675,male18,M
audio02676,male10,M
audio02677,female9,F
audio02678,female8,F
audio02679,female9,F
audio02680,male6,M
audio02681,male5,M
audio02682,female28,F
audio02683,male3,M
audio02684,female2,F
audio02685,female1,F
audio02686,female29,F
audio02687,male10,M
audio02688,male25,M
audio02689,female28,F
audio02690,male24,M
audio02691,female26,F
audio02692,male3,M
audio02693,female22,F
audio02694,female12,F
audio02695,female27,F
audio02696,female22,F
audio02697,female27,F
audio02698,male25,M
audio02699,male7,M
audio02700,female24,F
audio02701,female4,F
audio02702,female8,F
audio02703,male8,M
audio02704,male5,M
audio02705,female2,F
audio02706,female8,F
audio02707,female27,F
audio02708,male19,M
audio02709,male19,M
audio02710,male7,M
audio02711,female11,F
audio02712,male18,M
audio02713,male18,M
audio02714,male30,M
audio02715,female5,F
audio02716,female15,F
audio02717,female8,F
audio02718,male19,M
audio02719,female8,F
audio02720,male5,M
audio02721,male22,M
audio02722,male26,M
audio02723,male4,M
audio02724,male24,M
audio02725,female8,F
audio02726,male4,M
audio02727,male5,M
audio02728,male9,M
audio02729,male10,M
audio02730,female29,F
audio02731,female20,F
audio02732,male5,M
audio02733,male25,M
audio02734,male27,M
audio02735,male16,M
audio02736,female20,F
audio02737,female28,F
audio02738,male6,M
audio02739,female15,F
audio02740,male22,M
audio02741,female8,F
audio02742,female22,F
audio02743,female8,F
audio02744,female28,F
audio02745,female22,F
audio02746,male10,M
audio02747,male9,M
audio02748,male22,M
audio02749,female9,F
audio02750,male10,M
audio02751,male5,M
audio02752,female4,F
audio02753,female29,F
audio02754,male24,M
audio02755,male30,M
audio02756,male10,M
audio02757,male27,M
audio02758,male10,M
audio02759,male7,M
audio02760,female14,F
audio02761,female5,F
audio02762,male27,M
audio02763,male6,M
audio02764,male9,M
audio02765,male8,M
audio02766,female27,F
audio02767,male22,M
audio02768,male23,M
audio02769,male4,M
audio02770,female8,F
audio02771,male7,M
audio02772,female4,F
audio02773,female22,F
audio02774,female14,F
audio02775,male7,M
audio02776,female2,F
audio02777,female14,F
audio02778,female30,F
audio02779,female2,F
audio02780,female26,F
audio02781,male27,M
audio02782,male4,M
audio02783,female27,F
audio02784,male4,M
audio02785,female5,F
audio02786,female14,F
audio02787,female24,F
audio02788,female29,F
audio02789,female8,F
audio02790,male2,M
audio02791,female5,F
